# World Bank, indicator SP.POP.GROW (population growth, annual %), 1970-2023, 24 countries.
# Source: World Bank Open Data (https://data.worldbank.org), retrieved 2026-09-18, CC BY 4.0.
# Country names are shortened and comma-free on purpose: the inline CSV parser splits on ','.
country,year,growth
Mexico,1979,2.5765
Mexico,1980,2.4845
Mexico,1981,2.3376
Mexico,1982,2.2124
Mexico,1983,2.1601
Mexico,1984,2.1112
Mexico,1985,2.0688
Mexico,1986,2.0343
Mexico,1987,2.0050
Mexico,1988,1.9754
Mexico,1989,1.9283
Mexico,1990,1.9175
Mexico,1991,1.9258
Mexico,1992,1.8939
Mexico,1993,1.8527
Mexico,1994,1.8150
Mexico,1995,1.7802
Mexico,1996,1.7350
Mexico,1997,1.6823
Mexico,1998,1.6393
Mexico,1999,1.5989
Mexico,2000,1.5427
Mexico,2001,1.4830
Mexico,2002,1.4377
Mexico,2003,1.3983
Mexico,2004,1.3653
Mexico,2005,1.3486
Mexico,2006,1.3537
Mexico,2007,1.4079
Mexico,2008,1.4602
Mexico,2009,1.4619
Mexico,2010,1.4397
Mexico,2011,1.4153
Mexico,2012,1.3572
Mexico,2013,1.2973
Mexico,2014,1.2100
Mexico,2015,1.0696
Mexico,2016,0.9691
Mexico,2017,0.9352
Mexico,2018,0.9466
Mexico,2019,0.9501
Mexico,2020,0.8205
Mexico,2021,0.6674
Mexico,2022,0.7531
Mexico,2023,0.8722
Nigeria,1970,2.2836
Nigeria,1971,2.3356
Nigeria,1972,2.3954
Nigeria,1973,2.4948
Nigeria,1974,2.6233
Nigeria,1975,2.7689
Nigeria,1976,2.8714
Nigeria,1977,2.9839
Nigeria,1978,3.0640
Nigeria,1979,3.0845
Nigeria,1980,3.1207
Nigeria,1981,3.0750
Nigeria,1982,2.9923
Nigeria,1983,2.5938
Nigeria,1984,2.5629
Nigeria,1985,2.8331
Nigeria,1986,2.7166
Nigeria,1987,2.6646
Nigeria,1988,2.6744
Nigeria,1989,2.6921
Nigeria,1990,2.7029
Nigeria,1991,2.6411
Nigeria,1992,2.6253
Nigeria,1993,2.6501
Nigeria,1994,2.6414
Nigeria,1995,2.6366
Nigeria,1996,2.6143
Nigeria,1997,2.6031
Nigeria,1998,2.6134
Nigeria,1999,2.6359
Nigeria,2000,2.6744
Nigeria,2001,2.7164
Nigeria,2002,2.7415
Nigeria,2003,2.7567
Nigeria,2004,2.7705
Nigeria,2005,2.7688
Nigeria,2006,2.7612
Nigeria,2007,2.7718
Nigeria,2008,2.7845
Nigeria,2009,2.7873
Nigeria,2010,2.7951
Nigeria,2011,2.8028
Nigeria,2012,2.7742
Nigeria,2013,2.7147
Nigeria,2014,2.6422
Nigeria,2015,2.5362
Nigeria,2016,2.4718
Nigeria,2017,2.4317
Nigeria,2018,2.3122
Nigeria,2019,2.1944
Nigeria,2020,2.1303
Nigeria,2021,2.0962
Nigeria,2022,2.0928
Nigeria,2023,2.0984
Pakistan,1970,2.8761
Pakistan,1971,2.7559
Pakistan,1972,2.7671
Pakistan,1973,2.9119
Pakistan,1974,2.9406
Pakistan,1975,2.9893
Pakistan,1976,3.0610
Pakistan,1977,3.1360
Pakistan,1978,3.2032
Pakistan,1979,3.4641
Pakistan,1980,4.0851
Pakistan,1981,4.1781
Pakistan,1982,3.7596
Pakistan,1983,3.4622
Pakistan,1984,3.1351
Pakistan,1985,3.1693
Pakistan,1986,3.3806
Pakistan,1987,3.4094
Pakistan,1988,3.3615
Pakistan,1989,3.2681
Pakistan,1990,3.3430
Pakistan,1991,3.3065
Pakistan,1992,2.8625
Pakistan,1993,2.7725
Pakistan,1994,2.8927
Pakistan,1995,2.8903
Pakistan,1996,2.9107
Pakistan,1997,2.8283
Pakistan,1998,2.7613
Pakistan,1999,2.7219
Pakistan,2000,2.8248
Pakistan,2001,2.7962
Pakistan,2002,2.4508
Pakistan,2003,2.3539
Pakistan,2004,2.4681
Pakistan,2005,2.4038
Pakistan,2006,2.3820
Pakistan,2007,2.6420
Pakistan,2008,2.6772
Pakistan,2009,2.5413
Pakistan,2010,2.4708
Pakistan,2011,2.2369
Pakistan,2012,1.9062
Pakistan,2013,1.6272
Pakistan,2014,1.5003
Pakistan,2015,1.4025
Pakistan,2016,1.3022
Pakistan,2017,1.4141
Pakistan,2018,1.6237
Pakistan,2019,1.6919
Pakistan,2020,1.8038
